index,cell_type,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ZBTB40,Fibroblasts,0.02732049211965473,-0.09462880407824664,0.5124625737220517,0.9342381426172276,0.350181064484527,
C1QA,Fibroblasts,0.2689735257106845,2.717446935518151,0.33967341118159783,5.555527616865223,2.767744486406491e-08,1.641520895948949e-07
C1QC,Fibroblasts,0.0872819733658407,3.2740342617862366,0.68800999901325,2.1921187985621984,0.028370929705306726,0.06286223504733689
C1QB,Fibroblasts,0.20803781961898873,2.883751951952555,0.3803367354987892,4.823248514222216,1.4123881476908582e-06,7.268299309998373e-06
EPHB2,Fibroblasts,0.029188138518775688,-0.08704800839184525,0.48380335495299215,1.0404082590229995,0.29815026623205854,
KDM1A,Fibroblasts,0.13597816474850521,-0.12168498288047985,0.2316322152559052,2.360143784466453,0.01826785307497707,0.04497397260496334
LUZP1,Fibroblasts,0.2636853323243563,-1.3409299360299813,0.11686699868736619,-5.5972739040790795,2.1774854586635393e-08,1.3101759806479168e-07
LINC01355,Fibroblasts,0.03781032837833189,0.00944744656595649,0.49672226939525255,1.1981429320162096,0.23086137766436132,
HNRNPR,Fibroblasts,0.8660300819960512,-0.27814127369928227,0.06296403392134456,-3.766506976518259,0.0001655474600676323,0.000679199386991764
ZNF436,Fibroblasts,0.05707666513854464,0.05332053930126204,0.38952525969561375,1.6706731977540865,0.09478624564881236,
ZNF436-AS1,Fibroblasts,0.024536746867308574,-0.37648804414017123,0.6377570479365842,0.8374512480691357,0.40233896948923753,
TCEA3,Fibroblasts,0.4013916715914997,-0.6554960713136903,0.09826086448183567,-3.7548802778294776,0.0001734243546489787,0.0007087901785243153
ASAP3,Fibroblasts,0.10037299403891947,-0.15275770080538495,0.28571822130503083,2.1341346065124096,0.032831763782160454,0.06915508608219806
ID3,Fibroblasts,3.142145397659518,-0.2816856574905029,0.08715831794859893,-3.3335244813116884,0.0008575312471699585,0.003176183443758968
RPL11,Fibroblasts,17.70355139990045,-0.14226312354880855,0.02657642190091487,-5.423594474000832,5.84123197884342e-08,3.37850342261997e-07
TCEB3,Fibroblasts,0.1397790086304908,-0.5310724521786181,0.19417160460947036,1.645212619730985,0.09992597195976102,0.1464182167628602
TCEB3-AS1,Fibroblasts,0.036695018002880345,0.049817026561415095,0.4841918316260058,1.252857336927983,0.21025763059925917,
PITHD1,Fibroblasts,0.32177651790936584,-0.587167215813952,0.09978917963092554,-1.9961831915919372,0.04591398633389149,0.08666322951343977
LYPLA2,Fibroblasts,0.11591532218488841,-0.8897411792632192,0.22881777850237142,1.0816766785521357,0.2793962194368588,0.33220566409793384
GALE,Fibroblasts,0.035912177857211534,-0.5432429626671956,0.508994323440391,1.199016173894525,0.23052165663736868,
HMGCL,Fibroblasts,0.19948259834211746,-0.15879747042878967,0.14511044353449865,2.4743884693839964,0.013346448554488794,0.03512792786618534
